Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
HD 128620,,2444503.9,-8.02E-13,4.13E-13,4.91E-12,-7.57E-13,3.28E-13,6.15E-12,3.34E-12,5.22E-13,6.09E-12,1.65E-12,5.69E-13,9.01E-12
HD 128621,,2444503.9,4.11E-13,2.11E-13,7.45E-13,-5.48E-13,2.89E-14,3.85E-13,1.36E-12,1.57E-13,1.10E-12,1.78E-12,1.33E-13,3.73E-13
HD 128620,,2444507,-2.50E-12,3.10E-13,5.18E-12,-2.20E-12,2.96E-13,7.10E-12,1.64E-12,3.94E-13,5.40E-12,1.29E-12,6.10E-13,1.01E-11
HD 128621,,2444507,-9.66E-13,2.28E-13,1.87E-12,-2.50E-13,6.53E-14,8.32E-13,1.45E-12,1.39E-13,6.20E-13,1.33E-12,1.35E-13,8.63E-13
HD 128620,,2444729.2,-6.24E-13,3.66E-13,4.61E-12,-1.32E-12,3.20E-13,6.66E-12,3.32E-12,4.82E-13,5.39E-12,2.57E-12,5.68E-13,8.07E-12
HD 128621,,2444729.2,-2.53E-13,2.16E-13,1.23E-12,1.92E-13,5.65E-14,1.11E-13,1.90E-12,1.38E-13,2.06E-13,1.85E-12,1.03E-13,-3.41E-13
HD 128621,,2444742.3,-6.63E-13,3.09E-13,1.55E-12,1.86E-13,6.70E-14,3.64E-13,1.93E-12,1.09E-13,-4.13E-13,2.18E-12,1.08E-13,-5.57E-13
HD 128620,,2444748.4,-7.27E-13,3.89E-13,4.62E-12,-1.52E-12,3.28E-13,6.90E-12,2.94E-12,4.93E-13,5.83E-12,2.65E-12,6.42E-13,9.34E-12
HD 128621,,2444748.4,7.58E-13,2.13E-13,5.80E-13,2.79E-13,9.41E-14,7.97E-13,1.34E-12,9.75E-14,-7.39E-14,-4.28E-13,5.65E-14,1.04E-12
HD 128620,,2444762.1,-1.16E-12,3.51E-13,4.96E-12,-2.37E-12,3.27E-13,7.86E-12,3.62E-12,4.79E-13,5.11E-12,6.80E-13,5.71E-13,1.01E-11
